,title,address,city,state,postal_code,price,facts and features,real estate provider,url,bed,bath,sqft,property_type,latlng
426,Apartment For Sale,2014 19th St,San Francisco,CA,94107,1699000.0,"5 bds , 3 ba , 2,151 sqft",Climb Real Estate,https://www.zillow.com/homedetails/2014-19th-St-San-Francisco-CA-94107/15149311_zpid/,5.0,3.0,2151.0,apartment,"(37.7610181428571, -122.40246)"
427,Condo For Sale,461 2nd St APT T457,San Francisco,CA,94107,2350000.0,"2 bds , 2 ba , 1,812 sqft",Compass,https://www.zillow.com/homedetails/461-2nd-St-APT-T457-San-Francisco-CA-94107/15148107_zpid/,2.0,2.0,1812.0,condo,
428,Condo For Sale,260 King St UNIT 415,San Francisco,CA,94107,925000.0,"1 bd , 1 ba , 903 sqft",Vanguard Properties,https://www.zillow.com/homedetails/260-King-St-UNIT-415-San-Francisco-CA-94107/69819604_zpid/,1.0,1.0,903.0,condo,
429,Condo For Sale,88 King St UNIT 304,San Francisco,CA,94107,1375000.0,"2 bds , 2 ba , 1,145 sqft",Coldwell Banker Residential Brokerage - San Francisco Market Street,https://www.zillow.com/homedetails/88-King-St-UNIT-304-San-Francisco-CA-94107/80732200_zpid/,2.0,2.0,1145.0,condo,
430,House For Sale,1237 De Haro St,San Francisco,CA,94107,1498000.0,"3 bds , 2 ba , 1,735 sqft",Coldwell Banker Residential Brokerage - San Francisco Pacific Heights,https://www.zillow.com/homedetails/1237-De-Haro-St-San-Francisco-CA-94107/15152153_zpid/,3.0,2.0,1735.0,house,"(37.7541131935916, -122.40046967499)"
431,Condo For Sale,219 Brannan St UNIT 4G,San Francisco,CA,94107,2250000.0,"3 bds , 3 ba , 1,694 sqft",E&J Realty,https://www.zillow.com/homedetails/219-Brannan-St-UNIT-4G-San-Francisco-CA-94107/50586838_zpid/,3.0,3.0,1694.0,condo,
432,Condo For Sale,750 2nd St APT 301,San Francisco,CA,94107,2195000.0,"2 bds , 3 ba , 1,612 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/750-2nd-St-APT-301-San-Francisco-CA-94107/122244766_zpid/,2.0,3.0,1612.0,condo,
433,Condo For Sale,229 Brannan St UNIT 11E,San Francisco,CA,94107,1595000.0,"2 bds , 2 ba , 1,058 sqft",Sotheby's International Realty - San Francisco Brokerage,https://www.zillow.com/homedetails/229-Brannan-St-UNIT-11E-San-Francisco-CA-94107/59700564_zpid/,2.0,2.0,1058.0,condo,
434,House For Sale,910 Carolina St,San Francisco,CA,94107,3995000.0,"4 bds , 4.5 ba , 3,960 sqft",Vanguard Properties,https://www.zillow.com/homedetails/910-Carolina-St-San-Francisco-CA-94107/15151534_zpid/,4.0,4.5,3960.0,house,"(37.7570241818182, -122.399774590909)"
435,Condo For Sale,234 Ritch St,San Francisco,CA,94107,2999000.0,"2 bds , 2 ba , 2,253 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/234-Ritch-St-San-Francisco-CA-94107/80734121_zpid/,2.0,2.0,2253.0,condo,"(37.7805164146341, -122.396055585366)"
436,Condo For Sale,631 Folsom St APT 4E,San Francisco,CA,94107,899000.0,"2 bds , 2 ba , 906 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/631-Folsom-St-APT-4E-San-Francisco-CA-94107/89239279_zpid/,2.0,2.0,906.0,condo,
437,Coming Soon,260 King St UNIT 909,San Francisco,CA,94107,850000.0,"1 bd , 1 ba , 823 sqft",Climb Real Estate,https://www.zillow.com/homedetails/260-King-St-UNIT-909-San-Francisco-CA-94107/69819642_zpid/,1.0,1.0,823.0,coming,
438,House For Sale,865 Rhode Island St,San Francisco,CA,94107,3998000.0,"4 bds , 5 ba , 3,755 sqft",Compass,https://www.zillow.com/homedetails/865-Rhode-Island-St-San-Francisco-CA-94107/15150458_zpid/,4.0,5.0,3755.0,house,"(37.7588879591837, -122.401899693878)"
439,Condo For Sale,200 Brannan St APT 437,San Francisco,CA,94107,3595000.0,"3 bds , 4 ba , 2,903 sqft",Sotheby's International Realty - San Francisco Brokerage,https://www.zillow.com/homedetails/200-Brannan-St-APT-437-San-Francisco-CA-94107/69817645_zpid/,3.0,4.0,2903.0,condo,
